tanggal;importir;nama_pemasok;deskripsi_barang;harga_satuan;nilai_invoice;netto_barang;pelabuhan_masuk;negara_asal
09/01/2024 00:00;Garza LLC;PD Halim;pakaian wanita;48.61;680.6;66.96;Batam;MY
22/01/2024 00:00;PD Yulianti Budiman;PT Kuswoyo Mandala;teh hijau celup;2267.64;183679.14;475.15;Soekarno-Hatta;SG
04/01/2024 00:00;PT Handayani Tbk;Perum Siregar;blender philips;1300.34;149539.01;787.17;Tanjung Emas;TH
03/01/2024 00:00;PT Handayani Tbk;CV Zulaika (Persero) Tbk;kursi kantor ergonomis;3927.93;710954.94;792.8;Belawan;US
29/01/2024 00:00;Perum Halimah Tbk;PT Wahyudin (Persero) Tbk;daikin inverter;70.12;8128932.49;1.07;Soekarno-Hatta;SG
03/01/2024 00:00;CV Widodo;CV Habibi Pudjiastuti Tbk;tangki air;862.15;17777.84;100.89;Tanjung Emas;KR
03/01/2024 00:00;CV Widodo;Perum Siregar;tangki air;3422.96;235880.63;556.98;Batam;TH
03/01/2024 00:00;CV Widodo;PD Sihombing Halimah;tangki air;733.18;21832.81;9.06;Batam;SG
24/01/2024 00:00;Garza LLC;UD Zulaika Hutasoit;smartphone xiaomi redmi;3609.74;14564476.25;8.05;Soekarno-Hatta;SG
22/01/2024 00:00;CV Marpaung Budiyanto;PD Putra Hastuti Tbk;gula pasir rafinasi;83.12;12134.9;678.96;Bitung;IN
18/01/2024 00:00;PD Hutagalung Purnawati Tbk;PD Sihombing Halimah;pintu aluminium;1013.78;81102.12;723.89;Tanjung Priok;KY
27/01/2024 00:00;Perum Halimah Tbk;UD Namaga (Persero) Tbk;keramik lantai;1416.78;222433.71;738.34;Tanjung Priok;KY
13/01/2024 00:00;PD Hutagalung Purnawati Tbk;PD Sihombing Halimah;teh hijau celup;1255.05;5638815.68;5.09;Tanjung Emas;US
13/01/2024 00:00;CV Gunarto Uyainah Tbk;CV Melani (Persero) Tbk;pintu aluminium;2334.68;463567128.07;9.07;Tanjung Priok;KY
12/01/2024 00:00;CV Hassanah Wijaya;Perum Wibowo Tbk;blender philips;435.75;10893.77;188.68;Batam;DE
03/01/2024 00:00;CV Widodo;Perum Suwarno Wibowo;tangki air;4286.02;51297.66;444.99;Tanjung Emas;IN
05/01/2024 00:00;CV Hassanah Wijaya;UD Zulaika Hutasoit;tenda camping kapasitas orang;174.19;14980.2;386.4;Soekarno-Hatta;KR
25/01/2024 00:00;CV Sihombing Wibisono;CV Pudjiastuti Nurdiyanti;panel surya;3268.84;294195.87;137.84;Tanjung Emas;DE
03/01/2024 00:00;CV Widodo;UD Zulaika Hutasoit;tangki air;878.94;34959.58;176.29;Tanjung Emas;JP
19/01/2024 00:00;PT Handayani Tbk;PD Putra Hastuti Tbk;oli mesin kendaraan;403.87;73100.03;727.45;Tanjung Emas;IN
28/01/2024 00:00;PT Handayani Tbk;Perum Anggriawan Hartati Tbk;tenda camping kapasitas orang;1272.33;187140064.82;8.04;Batam;MY
06/01/2024 00:00;PT Handayani Tbk;UD Palastri Tbk;blender philips;2374.87;132992.74;345.73;Tanjung Priok;KY
08/01/2024 00:00;CV Sihombing Wibisono;PD Putra Hastuti Tbk;kain tenun ntt;865.37;147112.31;175.9;Belawan;VN
13/01/2024 00:00;CV Gunarto Uyainah Tbk;Perum Prabowo Kusumo (Persero) Tbk;pintu aluminium;975.04;26326.21;807.8;Batam;IN
13/01/2024 00:00;CV Gunarto Uyainah Tbk;PD Sihombing Halimah;pintu aluminium;2330.45;144487.87;783.89;Tanjung Emas;IN
23/01/2024 00:00;PD Yulianti Budiman;CV Mandala;vacuum cleaner xiaomi;1448.42;267957.68;986.86;Makassar;IN
02/01/2024 00:00;CV Sihombing Wibisono;Perum Pangestu Najmudin Tbk;kain tenun ntt;1223.01;174890.5;717.14;Bitung;DE
01/01/2024 00:00;PD Hutagalung Purnawati Tbk;UD Permata Putra;blender philips;3487.62;575457.75;780.63;Bitung;KY
03/01/2024 00:00;CV Widodo;CV Sihombing;tangki air;1412.32;237880.63;52.01;Tanjung Perak;VN
03/01/2024 00:00;CV Widodo;UD Salahudin Purnawati (Persero) Tbk;tangki air;1986.14;51297.66;568.27;Bitung;KY
27/01/2024 00:00;Garza LLC;UD Zulaika Hutasoit;termometer digital;4531.51;543781.78;744.14;Belawan;US
19/01/2024 00:00;Perum Halimah Tbk;UD Zulaika Hutasoit;tenda camping kapasitas orang;4148.38;767450.31;256.14;Batam;IN
03/01/2024 00:00;CV Widodo;Perum Wibowo Tbk;tangki air;1916.56;53297.66;259.21;Batam;IN
13/01/2024 00:00;PD Yulianti Budiman;Perum Pangestu Najmudin Tbk;tenda camping kapasitas orang;461.94;37879.03;712.55;Soekarno-Hatta;TH
21/01/2024 00:00;CV Marpaung Budiyanto;CV Sihombing;blender philips;2741.31;540037.32;646.81;Tanjung Emas;VN
13/01/2024 00:00;PD Hutagalung Purnawati Tbk;Perum Prabowo Kusumo (Persero) Tbk;botol minum stainless;1508.12;90487.03;312.5;Makassar;TH
13/01/2024 00:00;CV Gunarto Uyainah Tbk;PT Kuswoyo Mandala;pintu aluminium;620.76;39728.94;557.94;Batam;SG
15/01/2024 00:00;PD Hutagalung Purnawati Tbk;CV USda Wulandari;panel surya;6668966.66;466827666.3;76.63;Bitung;KY
07/01/2024 00:00;PD Hutagalung Purnawati Tbk;PD Siregar;tenda camping kapasitas orang;407.35;13850.02;453.34;Tanjung Perak;CN
20/01/2024 00:00;CV Hassanah Wijaya;PD Sihombing Tbk;panel surya;547.4;25727.86;767.19;Tanjung Perak;JP
03/01/2024 00:00;CV Widodo;CV Mandala;tangki air;4606.65;41297.66;194.19;Belawan;MY
17/01/2024 00:00;PT Handayani Tbk;Perum Suwarno Wibowo;modul elektronik arduino;2479.33;168594.39;663.31;Bitung;DE
11/01/2024 00:00;CV Hassanah Wijaya;Perum Pangestu Najmudin Tbk;konsol game playstation;750.44;121571.8;230.0;Tanjung Emas;DE
14/01/2024 00:00;PD Yulianti Budiman;UD Hutagalung (Persero) Tbk;daikin inverter;1988.02;284287.21;864.03;Tanjung Perak;IN
06/01/2024 00:00;PD Hutagalung Purnawati Tbk;PD Sihombing Halimah;sepatu gunung eiger;185.32;25202.92;416.78;Batam;MY
24/01/2024 00:00;CV Marpaung Budiyanto;Perum Putra;kain tenun ntt;3676.23;62495.86;444.73;Makassar;JP
10/01/2024 00:00;PD Yulianti Budiman;PD Halim;panel surya;4607.74;336365.17;284.49;Makassar;US
20/01/2024 00:00;PD Yulianti Budiman;PD Najmudin (Persero) Tbk;panel surya;38.18;5609182.93;6.05;Makassar;TH
13/01/2024 00:00;CV Gunarto Uyainah Tbk;Perum Melani (Persero) Tbk;pintu aluminium;1109.39;86532.62;507.64;Bitung;KY
08/01/2024 00:00;PD Hutagalung Purnawati Tbk;CV Simanjuntak Manullang;alat pancing lengkap;3765.63;606266.11;290.22;Makassar;VN
02/01/2024 00:00;PD Yulianti Budiman;CV USda Wulandari;kain tenun ntt;4841.87;775602982.07;9.06;Soekarno-Hatta;SG
15/01/2024 00:00;PT Handayani Tbk;Perum Waskita Rahmawati (Persero) Tbk;kain tenun ntt;3652.72;171677.97;516.75;Tanjung Perak;IN
18/01/2024 00:00;CV Widodo;Perum Waskita Rahmawati (Persero) Tbk;topi baseball adidas;1223.8;186018.25;271.83;Makassar;MY
01/01/2024 00:00;CV Hassanah Wijaya;PD Siregar;raspberry model;1155.83;64726.71;610.73;Bitung;KY
29/01/2024 00:00;Perum Halimah Tbk;UD Namaga (Persero) Tbk;laptop apple macbook pro;3442.07;61957.34;500.43;Bitung;VN
05/01/2024 00:00;CV Widodo;PD Maryati Kuswandari;alat pancing lengkap;3199.63;73591.51;564.47;Belawan;TH
13/01/2024 00:00;CV Gunarto Uyainah Tbk;Perum Pratama Tbk;pintu aluminium;1257.72;231420.9;772.94;Bitung;KY
06/01/2024 00:00;PD Hutagalung Purnawati Tbk;PD Marpaung Tbk;kain tenun ntt;1439.28;143927.51;790.79;Belawan;DE
03/01/2024 00:00;CV Hassanah Wijaya;CV Waskita;panel surya;8208144.92;969194579.27;592.44;Tanjung Perak;DE
16/01/2024 00:00;PT Handayani Tbk;Perum Waskita Rahmawati (Persero) Tbk;split panasonic;6199.93;297596.46;285.39;Belawan;JP
12/01/2024 00:00;PD Yulianti Budiman;Perum Prabowo Kusumo (Persero) Tbk;blender philips;739087.1;56165636.1;399.99;Soekarno-Hatta;MY
15/01/2024 00:00;CV Sihombing Wibisono;PT Melani USmah (Persero) Tbk;jam dinding quartz;975.4;182399.5;940.03;Belawan;CN
02/01/2024 00:00;Perum Halimah Tbk;PD Sihombing Halimah;blender philips;1804.75;277931.89;316.73;Belawan;US
13/01/2024 00:00;CV Gunarto Uyainah Tbk;PD Putra Hastuti Tbk;pintu aluminium;584.66;16370.47;149.11;Batam;MY
10/01/2024 00:00;PD Hutagalung Purnawati Tbk;Perum Waskita Rahmawati (Persero) Tbk;pupuk urea granul;1956.5;266084.02;175.1;Belawan;IN
18/01/2024 00:00;PT Handayani Tbk;UD Sudiati Fujiati;kain tenun ntt;5258.89;736244.19;300.37;Belawan;VN
26/01/2024 00:00;PD Hutagalung Purnawati Tbk;UD Nasyidah;raspberry model;4120.82;609882.04;589.03;Bitung;KY
22/01/2024 00:00;Perum Halimah Tbk;UD Sitompul Permata;teh hijau celup;3064.26;232883.98;483.98;Bitung;KY
02/01/2024 00:00;CV Marpaung Budiyanto;PD Thamrin Pertiwi;panel surya;2130.26;57516.91;856.51;Makassar;TH
09/01/2024 00:00;PT Handayani Tbk;PD Zulkarnain Waluyo;besi hollow galvanis;3648.57;583771.21;221.81;Batam;CN
08/01/2024 00:00;PT Handayani Tbk;Perum Suwarno Wibowo;botol minum stainless;1004.33;58251.39;562.31;Soekarno-Hatta;CN
04/01/2024 00:00;Garza LLC;PD Halim;panel surya;1085415.18;64893647.15;667.22;Makassar;CN
26/01/2024 00:00;Garza LLC;CV Zulaika (Persero) Tbk;kain tenun ntt;1711.33;82143.81;704.04;Tanjung Emas;US
21/01/2024 00:00;PD Hutagalung Purnawati Tbk;Perum Wibowo Tbk;teh hijau celup;1613.51;129080.72;709.79;Soekarno-Hatta;MY
25/01/2024 00:00;PD Yulianti Budiman;Perum Waskita Rahmawati (Persero) Tbk;teh hijau celup;4583.36;737920.23;127.57;Tanjung Emas;DE
30/01/2024 00:00;CV Sihombing Wibisono;UD Nasyidah;panel surya;2392.0;291824.08;54.85;Makassar;KR
06/01/2024 00:00;CV Sihombing Wibisono;PT Nasyiah;panel surya;2572.1;126032.79;303.95;Bitung;KY
04/01/2024 00:00;PD Hutagalung Purnawati Tbk;Perum Prabowo Kusumo (Persero) Tbk;panel surya;4587.9;697360.44;281.02;Makassar;KR
12/01/2024 00:00;PD Hutagalung Purnawati Tbk;CV Sihombing;panel surya;59268.38;5571227.53;297.44;Tanjung Priok;KY
16/01/2024 00:00;Perum Halimah Tbk;CV Habibi Pudjiastuti Tbk;kain tenun ntt;2227.42;113598.17;489.39;Bitung;IN
09/01/2024 00:00;CV Widodo;Perum Anggriawan Hartati Tbk;tenda camping kapasitas orang;4288.44;120076.29;286.73;Tanjung Emas;SG
28/01/2024 00:00;Perum Halimah Tbk;PT Melani USmah (Persero) Tbk;rice cooker cosmos;4507.83;67617.38;434.46;Makassar;TH
25/01/2024 00:00;CV Widodo;UD Hutagalung (Persero) Tbk;teh hijau celup;3674.36;602594.29;6247.99;Belawan;US
09/01/2024 00:00;CV Hassanah Wijaya;UD Kuswandari Purwanti Tbk;pupuk urea granul;270.46;10277.36;515.22;Belawan;SG
11/01/2024 00:00;Garza LLC;UD Permata Putra;raspberry model;415.33;16197.77;620.52;Makassar;JP
13/01/2024 00:00;CV Gunarto Uyainah Tbk;UD Permata Putra;pintu aluminium;1213.62;75244.43;1050.6;Soekarno-Hatta;VN
13/01/2024 00:00;PD Yulianti Budiman;PT Melani USmah (Persero) Tbk;blender philips;262.09;18083.99;172.54;Makassar;US
25/01/2024 00:00;PD Yulianti Budiman;UD Salahudin Purnawati (Persero) Tbk;jaket kulit pria;42.41;7845.57;745.7;Belawan;IN
20/01/2024 00:00;PD Hutagalung Purnawati Tbk;CV Prasasta SUSnti;blender philips;1106.38;784149461.36;7.03;Tanjung Emas;SG
07/01/2024 00:00;CV Marpaung Budiyanto;UD Zulaika Hutasoit;konsol game playstation;3615.63;329022.69;367.04;Soekarno-Hatta;VN
17/01/2024 00:00;PD Hutagalung Purnawati Tbk;UD Sudiati Fujiati;split panasonic;4283.97;548348.05;712.1;Soekarno-Hatta;US
12/01/2024 00:00;Garza LLC;Perum Pratama Tbk;raspberry model;2620.9;356442.24;7761.68;Tanjung Priok;KY
25/01/2024 00:00;CV Gunarto Uyainah Tbk;CV Simanjuntak Manullang;rice cooker cosmos;1429.73;648497907.76;8.06;Tanjung Perak;SG
26/01/2024 00:00;CV Widodo;PD Uyainah Sudiati;besi hollow galvanis;1507.87;51267.43;450.87;Makassar;KR
17/01/2024 00:00;CV Sihombing Wibisono;Perum Waskita Rahmawati (Persero) Tbk;raspberry model;803616.56;10501263.71;761.11;Bitung;SG
24/01/2024 00:00;PT Handayani Tbk;Perum Siregar Kuswandari;panel surya;3010.68;448591.94;252.61;Makassar;JP
03/01/2024 00:00;Garza LLC;PD Siregar;panel surya;3482.46;424860.33;443.97;Soekarno-Hatta;SG
20/01/2024 00:00;CV Hassanah Wijaya;UD Permata Putra;teh hijau celup;1933.04;309287.05;982.93;Makassar;IN
23/01/2024 00:00;CV Sihombing Wibisono;PD Saptono Sihombing Tbk;konsol game playstation;3197.28;501973.14;538.31;Makassar;US
09/01/2024 00:00;CV Hassanah Wijaya;Perum Wibowo Tbk;besi beton ulir;1679.56;43668.5;3076.62;Tanjung Priok;KY
08/01/2024 00:00;PD Yulianti Budiman;PT Nasyiah;besi beton ulir;4305.85;361691.27;124.56;Batam;US
26/01/2024 00:00;Perum Halimah Tbk;PD Halim;kursi roda lipat;1723961.31;3740318157.24;390.08;Batam;TH
11/01/2024 00:00;CV Gunarto Uyainah Tbk;CV Pudjiastuti Nurdiyanti;panel surya;1416.31;99141.45;528.9;Soekarno-Hatta;SG
04/01/2024 00:00;CV Marpaung Budiyanto;PD Siregar;panel surya;2641.72;97743.49;201.67;Belawan;IN
04/01/2024 00:00;CV Gunarto Uyainah Tbk;PD Saptono Sihombing Tbk;cokelat batangan;5519.7;794836.4;236.18;Batam;CN
21/01/2024 00:00;Garza LLC;Perum Pratama Tbk;oli mesin kendaraan;1731.73;148928.5;867.99;Tanjung Priok;KY
13/01/2024 00:00;CV Sihombing Wibisono;Perum Wibowo Tbk;raspberry model;1127.62;48142356.02;9.03;Tanjung Perak;SG
11/01/2024 00:00;PD Hutagalung Purnawati Tbk;CV Sihombing;alat pemadam api ringan;4119.25;514905.73;782.39;Belawan;SG
30/01/2024 00:00;PD Hutagalung Purnawati Tbk;CV Mandala;pupuk urea granul;759231.69;20590828.25;425.69;Batam;CN
21/01/2024 00:00;CV Sihombing Wibisono;CV Sihombing;teh hijau celup;2000.01;316001.22;551.81;Tanjung Emas;US
24/01/2024 00:00;Perum Halimah Tbk;CV Waskita;besi hollow galvanis;2081.88;405966.44;463.41;Bitung;CN
17/01/2024 00:00;PT Handayani Tbk;Perum Suwarno Wibowo;konsol game playstation;1787.97;328986.56;234.76;Soekarno-Hatta;JP
25/01/2024 00:00;PT Handayani Tbk;UD Zulaika Hutasoit;oli mesin kendaraan;1108.7;87587.18;650.34;Belawan;US
08/01/2024 00:00;CV Sihombing Wibisono;UD Mahendra (Persero) Tbk;kain tenun ntt;5044738.25;785189637.0;238.34;Tanjung Perak;KR
26/01/2024 00:00;Garza LLC;CV Sihombing;rice cooker cosmos;430.22;86658109.33;6.02;Makassar;JP
21/01/2024 00:00;CV Sihombing Wibisono;PD Thamrin Pertiwi;panel surya;1577.35;75712.92;342.41;Tanjung Priok;KY
11/01/2024 00:00;Garza LLC;PD Lailasari Tbk;alat tes antigen;417.02;20850.78;600.29;Tanjung Emas;DE
04/01/2024 00:00;CV Gunarto Uyainah Tbk;PD Zulkarnain Waluyo;drone dji mini pro;9137895.2;375861065.58;585.57;Soekarno-Hatta;SG
07/01/2024 00:00;CV Marpaung Budiyanto;Perum Waskita Rahmawati (Persero) Tbk;plastik roll;1289.97;553040578.35;9.09;Tanjung Emas;TH
04/01/2024 00:00;Perum Halimah Tbk;PD Najmudin (Persero) Tbk;besi hollow galvanis;4193.94;419393.62;777.84;Belawan;MY
21/01/2024 00:00;PT Handayani Tbk;Perum Wibowo Tbk;blender philips;963.73;53968.61;587.37;Soekarno-Hatta;KR
05/01/2024 00:00;CV Hassanah Wijaya;PD Uyainah Sudiati;alat pemadam api ringan;2481.98;238270.08;706.6;Tanjung Priok;KY
26/01/2024 00:00;PT Handayani Tbk;CV Prasasta SUSnti;panel surya;3343.66;344396.66;575.21;Tanjung Priok;KY
28/01/2024 00:00;CV Gunarto Uyainah Tbk;Perum Melani (Persero) Tbk;teh hijau celup;4001.36;720244.37;52.5;Belawan;SG
12/01/2024 00:00;CV Sihombing Wibisono;PD Halim;plastik roll;3915.99;755785.48;642.55;Tanjung Perak;CN
16/01/2024 00:00;CV Sihombing Wibisono;Perum Prabowo Kusumo (Persero) Tbk;blender philips;3358.94;151152.23;355.85;Tanjung Perak;CN
28/01/2024 00:00;PT Handayani Tbk;UD Namaga (Persero) Tbk;sepatu gunung eiger;1655.73;119212.54;278.3;Bitung;SG
04/01/2024 00:00;CV Widodo;Perum Melani (Persero) Tbk;besi hollow galvanis;7877096.01;785754378.02;990.86;Belawan;VN
14/01/2024 00:00;CV Sihombing Wibisono;UD Nasyidah;sepatu lari nike;1206.05;20502.91;29.61;Tanjung Priok;KY
03/01/2024 00:00;Perum Halimah Tbk;CV Prasasta SUSnti;panel surya;1111.55;137831.7;134.14;Tanjung Emas;VN
21/01/2024 00:00;PD Hutagalung Purnawati Tbk;Perum Pratama Tbk;kamera dslr canon eos;4718.26;391615.54;340.49;Soekarno-Hatta;SG
05/01/2024 00:00;CV Widodo;Perum Siregar;kamera cctv infrared;1240.75;233261.06;594.49;Belawan;SG
05/01/2024 00:00;CV Hassanah Wijaya;PT Kuswoyo Mandala;kamera cctv infrared;1471.02;54427.82;267.82;Tanjung Emas;MY
26/01/2024 00:00;CV Widodo;PD Marpaung Tbk;drone dji mini pro;635.72;34964.66;146.41;Makassar;DE
16/01/2024 00:00;CV Widodo;UD Zulaika Hutasoit;mie instan goreng;2657.65;98333.22;617.19;Belawan;KR
17/01/2024 00:00;PT Handayani Tbk;PT Kuswoyo Mandala;pupuk urea granul;1067.35;26683.83;208.3;Batam;CN
22/01/2024 00:00;Perum Halimah Tbk;CV Pudjiastuti Nurdiyanti;jaket kulit pria;4945.48;182982.67;341.45;Belawan;DE
27/01/2024 00:00;CV Marpaung Budiyanto;PD Thamrin Pertiwi;speaker bluetooth jbl;4245.96;471301.65;254.3;Batam;DE
20/01/2024 00:00;PD Hutagalung Purnawati Tbk;CV Mandala;konsol game playstation;5682799.25;504667107.53;1003.0;Batam;DE
21/01/2024 00:00;CV Hassanah Wijaya;PD Saptono Sihombing Tbk;speaker bluetooth jbl;481.52;20705.15;323.74;Soekarno-Hatta;US
02/01/2024 00:00;UD Suryono;CV Pudjiastuti Nurdiyanti;vacuum cleaner xiaomi;3418.14;290542.05;969.01;Tanjung Perak;US
01/01/2024 00:00;PD Yulianti Budiman;PD Putra Hastuti Tbk;laptop apple macbook pro;2583093.22;158157542.44;742.46;Soekarno-Hatta;JP
15/01/2024 00:00;UD Suryono;Perum Anggriawan Hartati Tbk;oli mesin kendaraan;598.0;73519127.72;5.09;Batam;KR
05/01/2024 00:00;CV Gunarto Uyainah Tbk;UD Nasyidah;raspberry model;3540.65;138085.42;770.12;Batam;US
06/01/2024 00:00;CV Sihombing Wibisono;PD Maryati Kuswandari;oli mesin kendaraan;1606.45;32128.93;474.54;Batam;IN
03/01/2024 00:00;CV Hassanah Wijaya;PD Uyainah Sudiati;termometer digital;2538.75;78701.39;344.31;Tanjung Perak;TH
08/01/2024 00:00;CV Marpaung Budiyanto;PD Maryati Kuswandari;speaker bluetooth jbl;6033.99;808554.19;918.46;Makassar;MY
11/01/2024 00:00;Perum Halimah Tbk;PD Lailasari Tbk;printer inkjet canon pixma;1347.75;632655915.07;3.06;Bitung;TH
10/01/2024 00:00;Perum Halimah Tbk;CV Habibi Pudjiastuti Tbk;panel surya;703.49;93564.27;719.62;Makassar;US
18/01/2024 00:00;PD Hutagalung Purnawati Tbk;Perum Pratama Tbk;besi hollow galvanis;1802.18;115339.58;529.43;Belawan;JP
24/01/2024 00:00;CV Widodo;Perum Suwarno Wibowo;blender philips;48.47;3247.19;64.84;Tanjung Priok;KY
17/01/2024 00:00;PT Handayani Tbk;CV Sihombing;sarung tangan medis latex;50.53;6619.41;54.09;Makassar;US
02/01/2024 00:00;PD Yulianti Budiman;PD Saptono Sihombing Tbk;kursi roda lipat;545.87;104261.18;815.16;Tanjung Perak;KR
18/01/2024 00:00;Perum Halimah Tbk;PD Putra Hastuti Tbk;termometer digital;29.35;3022.6;907.5;Makassar;CN
01/01/2024 00:00;PD Yulianti Budiman;CV Pudjiastuti Nurdiyanti;tenda camping kapasitas orang;3940.28;457072.36;395.19;Makassar;JP
08/01/2024 00:00;PT Handayani Tbk;UD Nasyidah;teh hijau celup;1958648.75;326560276.53;855.0;Tanjung Emas;IN
20/01/2024 00:00;PD Yulianti Budiman;Perum Suwarno Wibowo;pupuk urea granul;3341.63;367579.01;76.7;Makassar;CN
22/01/2024 00:00;Perum Halimah Tbk;CV Simanjuntak Manullang;oli mesin kendaraan;2444.88;437633.28;506.87;Makassar;VN
04/01/2024 00:00;PD Yulianti Budiman;UD Palastri Tbk;kursi roda lipat;796.59;93997.39;799.71;Tanjung Perak;CN
26/01/2024 00:00;PD Yulianti Budiman;UD Hutagalung (Persero) Tbk;plastik roll;2657.54;858510735.1;2.02;Belawan;DE
29/01/2024 00:00;UD Suryono;CV USda Wulandari;speaker bluetooth jbl;1549.93;57347.44;851.33;Batam;SG
03/01/2024 00:00;CV Marpaung Budiyanto;Perum Melani (Persero) Tbk;speaker bluetooth jbl;1818.52;307329.34;682.74;Makassar;US
05/01/2024 00:00;PT Handayani Tbk;UD Permata Putra;kursi roda lipat;5554.41;464050609.23;4.01;Tanjung Perak;DE
27/01/2024 00:00;PT Handayani Tbk;UD Salahudin Purnawati (Persero) Tbk;speaker bluetooth jbl;4702.81;178706.63;389.96;Makassar;MY
08/01/2024 00:00;CV Widodo;Perum Putra;alat pemadam api ringan;2636.69;398140.28;418.87;Tanjung Emas;IN
24/01/2024 00:00;CV Widodo;UD Salahudin Purnawati (Persero) Tbk;panel surya;3341.33;94256287.48;4.06;Tanjung Perak;JP
07/01/2024 00:00;CV Marpaung Budiyanto;PD Marpaung Tbk;termometer digital;515.48;86085.36;685.89;Batam;SG
15/01/2024 00:00;CV Marpaung Budiyanto;UD Hutagalung (Persero) Tbk;oli mesin kendaraan;8088121.69;761015211.82;284.63;Belawan;JP
02/01/2024 00:00;CV Sihombing Wibisono;UD Nasyidah;sepatu lari nike;5857.7;913801.46;094.47;Tanjung Priok;KY
25/01/2024 00:00;PD Yulianti Budiman;Perum Wibowo Tbk;besi beton ulir;6992830.69;292695186.26;680.47;Soekarno-Hatta;MY
27/01/2024 00:00;CV Hassanah Wijaya;CV Prasasta SUSnti;kamera cctv infrared;889558.7;92741016.1;691.25;Belawan;MY
19/01/2024 00:00;PD Hutagalung Purnawati Tbk;PD Sihombing Halimah;cokelat batangan;4716.61;103765.45;254.4;Batam;DE
20/01/2024 00:00;CV Marpaung Budiyanto;CV Melani (Persero) Tbk;pupuk urea granul;4754.01;251962.36;957.81;Tanjung Perak;KR
13/01/2024 00:00;CV Gunarto Uyainah Tbk;CV Melani (Persero) Tbk;kursi kantor ergonomis;379.7;71383.03;685.71;Tanjung Emas;US
21/01/2024 00:00;Perum Halimah Tbk;UD Permata Putra;sepeda anak roda;4666.24;363967.01;252.26;Belawan;DE
14/01/2024 00:00;PD Hutagalung Purnawati Tbk;CV Zulaika (Persero) Tbk;sarung tangan medis latex;1305.79;180198.8;069769.75;Soekarno-Hatta;SG
17/01/2024 00:00;PT Handayani Tbk;PT Melani USmah (Persero) Tbk;pelumas industri shell;2493.87;441414.12;247.64;Batam;IN
22/01/2024 00:00;CV Marpaung Budiyanto;Perum Melani (Persero) Tbk;blender philips;3978.65;564968.08;7136.05;Belawan;MY
12/01/2024 00:00;PT Handayani Tbk;Perum Melani (Persero) Tbk;termometer digital;2419.44;292752.38;734.38;Tanjung Priok;KY
16/01/2024 00:00;UD Suryono;PD Najmudin (Persero) Tbk;besi beton ulir;1826.88;62113.96;191.93;Tanjung Perak;KR
19/01/2024 00:00;UD Suryono;Perum Waskita Rahmawati (Persero) Tbk;plastik roll;1197.39;77830.31;5.28;Tanjung Priok;KY
24/01/2024 00:00;CV Marpaung Budiyanto;Perum Suwarno Wibowo;laptop apple macbook pro;4486.19;323005.71;9440.34;Tanjung Emas;US
08/01/2024 00:00;CV Marpaung Budiyanto;PD Siregar;printer inkjet canon pixma;3721.67;323785.55;233.83;Tanjung Perak;DE
